Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK
AMSF,"Amerisafe, Inc.",Financials,Property & Casualty Insurance,"DeRidder, Louisiana",1018979
AMTM,Amentum,Industrials,Diversified Support Services,"Chantilly, Virginia",2011286
AMWD,American Woodmark Corp.,Industrials,Building Products,"Winchester, Virginia",794619
ANDE,"The Andersons, Inc.",Consumer Staples,Food Distributors,"Maumee, Ohio",821026
ANGI,Angi Inc.,Communication Services,Advertising,"Denver, Colorado",1705110
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Baudette, Minnesota",1023024
AORT,Artivion,Health Care,Health Care Equipment,"Kennesaw, Georgia",784199
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,Semiconductors,"Sunnyvale, California",1387467
APAM,"Artisan Partners Asset Management, Inc.",Financials,Asset Management & Custody Banks,"Milwaukee, Wisconsin",1517302
APLE,"Apple Hospitality REIT, Inc.",Real Estate,Hotel & Resort REITs,"Richmond, Virginia",1418121
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products,"Minneapolis, Minnesota",6845
ARCB,ArcBest Corp.,Industrials,Cargo Ground Transportation,"Fort Smith, Arkansas",894405
ARI,Apollo Commercial Real Estate Finance,Real Estate,Mortgage REITs,"New York City, New York",1467760
ARLO,Arlo Technologies,Information Technology,Communications Equipment,"San Jose, California",1736946
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",1389050
ARR,Armour Residential REIT,Real Estate,Mortgage REITs,"Vero Beach, Florida",1428205
ARWR,Arrowhead Pharmaceuticals,Health Care,Biotechnology,"Pasadena, California",879407
ASIX,"Advansix, Inc.",Materials,Commodity Chemicals,"Parsippany–Troy Hills, New Jersey",1673985
ASO,Academy Sports + Outdoors,Consumer Discretionary,Specialty Stores,"Harris County, Texas",1817358
ASTE,"Astec Industries, Inc.",Industrials,Construction Machinery & Heavy Trucks,"Chattanooga, Tennessee",792987
ASTH,"Astrana Health, Inc.",Health Care,Health Care Facilities,"Alhambra, California",1083446
ATEN,"A10 Networks, Inc.",Information Technology,Systems Software,"San Jose, California",1580808
ATGE,Adtalem Global Education,Consumer Discretionary,Education Services,"Chicago, Illinois",730464
AUB,"Atlantic Union Bankshares, Corp.",Financials,Regional Banks,"Richmond, Virginia",883948
AVA,Avista Corporation,Utilities,Multi-Utilities,"Spokane, Washington",104918
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,"Arlington County, Virginia",1368622
AVNS,"Avanos Medical, Inc.",Health Care,Health Care Supplies,"Alpharetta, Georgia",1606498
AWI,"Armstrong World Industries, Inc.",Industrials,Building Products,"Lancaster, Pennsylvania",7431
AWR,American States Water Company,Utilities,Water Utilities,"San Dimas, California",1056903
AX,"Axos Financial, Inc.",Financials,Regional Banks,"Las Vegas, Nevada",1299709
AXL,"American Axle & Manufacturing, Inc.",Consumer Discretionary,Auto Parts & Equipment,"Detroit, Michigan",1062231
AZTA,"Azenta, Inc.",Health Care,Life Sciences Tools & Services,"Chelmsford, Massachusetts",933974
AZZ,"AZZ, Inc.",Industrials,Heavy Electrical Equipment,"Fort Worth, Texas",8947
