Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
R,Ryder,Industrials,Cargo Ground Transportation,"Miami, Florida"
RBA,RB Global,Industrials,Diversified Support Services,"Westchester, Illinois"
RBC,RBC Bearings,Industrials,Industrial Machinery & Supplies & Components,"Oxford, Connecticut"
REXR,Rexford Industrial Realty,Real Estate,Industrial REITs,
RGA,Reinsurance Group of America,Financials,Reinsurance,"Chesterfield, Missouri"
RGEN,Repligen,Health Care,Biotechnology,"Waltham, Massachusetts"
RGLD,Royal Gold,Materials,Gold,"Denver, Colorado"
RH,RH,Consumer Discretionary,Homefurnishing Retail,"Corte Madera, California"
RLI,RLI Corp.,Financials,Property & Casualty Insurance,"Peoria, Illinois"
RMBS,Rambus,Information Technology,Semiconductors,"San Jose, California"
RNR,RenaissanceRe,Financials,Reinsurance,Bermuda
ROIV,Roivant Sciences,Health Care,Biotechnology,"London, United Kingdom"
RPM,RPM International,Materials,Specialty Chemicals,"Medina, Ohio"
RRC,Range Resources,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas"
RRX,Regal Rexnord,Industrials,Electrical Components & Equipment,"Beloit, Wisconsin"
RS,"Reliance, Inc.",Materials,Steel,"Scottsdale, Arizona"
RYAN,Ryan Specialty,Financials,Insurance Brokers,"Chicago, Illinois"
RYN,Rayonier,Real Estate,Timber REITs,"Wildlight, Florida"
SAIA,Saia,Industrials,Cargo Ground Transportation,"Johns Creek, Georgia"
SAIC,Science Applications Intl Corp,Industrials,Diversified Support Services,"Reston, Virginia"
SAM,Boston Beer Company,Consumer Staples,Brewers,"Boston, Massachusetts"
SATS,EchoStar,Communication Services,Wireless Telecommunication Services,"Englewood, Colorado"
SBRA,Sabra Health Care REIT,Real Estate,Health Care REITs,
SCI,Service Corp Intl,Consumer Discretionary,Specialized Consumer Services,"Houston, Texas"
SEIC,SEI Investments Company,Financials,Asset Management & Custody Banks,"Oaks, Pennsylvania"
SF,Stifel,Financials,Investment Banking & Brokerage,"St. Louis, Missouri"
SFM,Sprouts Farmers Market,Consumer Staples,Food Retail,"Phoenix, Arizona"
SGI,Somnigroup International,Consumer Discretionary,Home Furnishings,"Lexington, Kentucky"
SHC,Sotera Health,Health Care,Health Care Services,"Broadview Heights, Ohio"
SIGI,Selective Insurance Group,Financials,Property & Casualty Insurance,
SKX,Skechers,Consumer Discretionary,Footwear,"Manhattan Beach, California"
SLAB,Silicon Labs,Information Technology,Semiconductors,"Austin, Texas"
SLGN,Silgan Holdings,Materials,"Metal, Glass & Plastic Containers","Stamford, Connecticut"
SLM,SLM Corp,Financials,Consumer Finance,"Newark, Delaware"
SMG,Scotts Miracle-Gro Company,Materials,Fertilizers & Agricultural Chemicals,"Marysville, Ohio"
SNV,Synovus,Financials,Regional Banks,"Columbus, Georgia"
SNX,TD Synnex,Information Technology,Technology Distributors,"Fremont, California Clearwater, Florida"
SON,Sonoco,Materials,Paper & Plastic Packaging Products & Materials,"Hartsville, South Carolina"
SR,Spire,Utilities,Gas Utilities,"St. Louis, Missouri"
SRPT,Sarepta Therapeutics,Health Care,Biotechnology,"Cambridge, Massachusetts"
SSB,South State Bank,Financials,Regional Banks,"Winter Haven, Florida"
SSD,Simpson Manufacturing,Industrials,Building Products,"Pleasanton, California"
ST,Sensata Technologies,Industrials,Electrical Components & Equipment,"Attleboro, Massachusetts"
STAG,STAG Industrial,Real Estate,Industrial REITs,"Boston, Massachusetts"
STWD,Starwood Property Trust,Financials,Mortgage REITs,"Greenwich, Connecticut"
SWX,Southwest Gas Corp,Utilities,Gas Utilities,"Las Vegas, Nevada"
SYNA,Synaptics,Information Technology,Semiconductors,"San Jose, California"
TCBI,Texas Capital Bancshares,Financials,Regional Banks,"Dallas, Texas"
TEX,Terex,Industrials,Construction Machinery & Heavy Transportation Equipment,"Norwalk, Connecticut"
THC,Tenet Health,Health Care,Health Care Facilities,"Dallas, Texas"
THG,Hanover Insurance,Financials,Property & Casualty Insurance,"Worcester, Massachusetts"
THO,Thor Industries,Consumer Discretionary,Leisure Products,"Elkhart, Indiana"
TKR,Timken,Industrials,Industrial Machinery & Supplies & Components,"North Canton, Ohio"
TMHC,Taylor Morrison,Consumer Discretionary,Homebuilding,"Scottsdale, Arizona"
TNL,Travel + Leisure Co.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida"
TOL,Toll Brothers,Consumer Discretionary,Homebuilding,"Fort Washington, Pennsylvania"
TREX,Trex,Industrials,Building Products,"Winchester, Virginia"
TTC,Toro,Industrials,Agricultural & Farm Machinery,"Bloomington, Minnesota"
TTEK,Tetra Tech,Industrials,Construction & Engineering,"Pasadena, California"
TXNM,TXNM Energy,Utilities,Electric Utilities,"Albuquerque, New Mexico"
TXRH,Texas Roadhouse,Consumer Discretionary,Restaurants,"Louisville, Kentucky"
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
UBSI,United Bankshares,Financials,Regional Banks,"Charleston, West Virginia"
UFPI,UFP Industries,Industrials,Building Products,"Grand Rapids, Michigan"
UGI,UGI Corp,Utilities,Gas Utilities,"King of Prussia, Pennsylvania"
UMBF,UMB Financial Corp.,Financials,Regional Banks,"Kansas City, Missouri"
UNM,Unum,Financials,Life & Health Insurance,"Chattanooga, Tennessee"
USFD,US Foods,Consumer Staples,Food Distributors,"Rosemont, Illinois"
UTHR,United Therapeutics,Health Care,Biotechnology,
VAC,Marriott Vacations Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida"
VAL,Valaris,Energy,Oil & Gas Drilling,"Houston, Texas"
VC,Visteon,Consumer Discretionary,Automotive Parts & Equipment,"Van Buren Township, Michigan"
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado"
VLY,Valley Bank,Financials,Regional Banks,"Morristown, New Jersey"
VMI,Valmont Industries,Industrials,Industrial Machinery & Supplies & Components,"Omaha, Nebraska"
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York City, New York"
VNOM,Viper Energy,Energy,Oil & Gas Storage & Transportation,"Midland, Texas"
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,"Raleigh, North Carolina"
VOYA,Voya Financial,Financials,Multi-Sector Holdings,"New York City, New York"
VVV,Valvoline,Consumer Discretionary,Automotive Retail,"Lexington, Kentucky"
WAL,Western Alliance Bancorporation,Financials,Regional Banks,"Phoenix, Arizona"
WBS,Webster Bank,Financials,Regional Banks,"Stamford, Connecticut"
WCC,WESCO International,Industrials,Trading Companies & Distributors,"Pittsburgh, Pennsylvania"
WEN,Wendy's,Consumer Discretionary,Restaurants,"Dublin, Ohio"
WEX,WEX Inc.,Financials,Transaction & Payment Processing Services,"South Portland, Maine"
WFRD,Weatherford International,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
WH,Wyndham Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey"
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan"
WING,Wingstop,Consumer Discretionary,Restaurants,"Addison, Texas"
WLK,Westlake Corporation,Materials,Specialty Chemicals,"Houston, Texas"
WMG,Warner Music Group,Communication Services,Movies & Entertainment,"New York City, New York"
WMS,Advanced Drainage Systems,Industrials,Building Products,"Hilliard, Ohio"
WPC,W. P. Carey,Real Estate,Diversified REITs,"New York City, New York"
